icd_code,ais_code,prob
D291.81,60002,0.00769441
D291.89,710806,0.00631977
D291.9,140628,0.000238603
D292.0,857551,0.0036407
D292.11,856101,7.93688e-05
D292.12,230299,0.0033798
D292.81,640610,0.00631458
D292.84,878099,0.0217627
D292.89,540212,0.000905104
D292.9,877120,0.000322984
D293.0,640648,0.0252342
D293.1,650622,0.000776321
D293.81,853361,6.17832e-05
D293.83,640220,0.0018243
D293.84,853172,0.00265468
D293.89,853171,4.68992e-05
D293.9,640648,0.0252343
D294.0,630299,0.000798594
D294.10,140474,0.0040536
D294.11,630099,0.00164025
D294.20,816031,0.00579885
D294.21,140403,0.00149269
D294.8,210099,0.000882952
D294.9,857471,0.00370623
D295.00,140210,0.00027777
D295.02,541410,0.000590831
D295.12,853151,6.26551e-06
D295.20,140634,0.00146911
D295.23,161003,6.07488e-05
D295.3,340204,0.00219655
D295.30,440299,0.0098379
D295.32,320099,0.00283286
D295.34,853162,0.00121958
D295.40,416000,9.43545e-05
D295.42,630699,0.00251622
D295.6,912000,7.20351e-05
D295.60,140440,0.000344049
D295.62,854572,0.00150772
D295.64,910400,3.45568e-05
D295.7,150200,3.15348e-05
D295.70,440805,0.0111926
D295.72,710099,0.00139347
D295.74,772489,0.00112359
D295.80,720604,0.00117504
D295.82,320208,0.0025179
D295.9,752400,9.29259e-05
D295.90,421002,0.0132139
D295.92,541220,0.00130318
D295.94,857351,0.000654325
D296.00,40099,0.0133419
D296.1,210202,2.08331e-05
D296.10,856161,5.38808e-05
D296.2,772489,0.00112365
D296.20,878099,0.0217626
D296.21,250603,0.000139401
D296.22,821006,0.0012717
D296.23,441422,0.0148891
D296.24,241209,0.00298338
D296.25,854464,0.000236574
D296.26,854456,0.000128062
D296.3,751101,7.47775e-05
D296.30,878163,0.00673014
D296.31,240216,0.000789213
D296.32,840400,0.00265161
D296.33,772489,0.00449395
D296.34,716006,0.0049898
D296.35,140693,1.61822e-05
D296.40,544826,0.00196475
D296.42,857201,0.000456494
D296.43,640228,0.000251552
D296.44,340606,0.00335575
D296.5,410600,0.000176336
D296.50,440805,0.0111926
D296.52,710600,2.52783e-05
